transaction_id,customer_id,transaction_timestamp,price,currency,flight_id,booking_reference
TRANS000101,CUST0006,2023-07-02 19:54:41,747.37,USD,FLIGHT581,L51Z35
TRANS000102,CUST0020,2023-07-02 20:55:01,387.59,JPY,FLIGHT164,6LSCCS
TRANS000103,CUST0005,2023-07-02 08:26:09,876.03,GBP,FLIGHT857,4I8RXV
TRANS000104,CUST0009,2023-07-02 10:23:11,174.65,JPY,FLIGHT626,JCRKPL
TRANS000105,CUST0017,2023-07-02 17:29:37,957.05,GBP,FLIGHT656,R160IG
TRANS000106,CUST0008,2023-07-02 00:15:26,661.76,AUD,FLIGHT953,3TZP2G
TRANS000107,CUST0014,2023-07-02 06:31:17,951.36,EUR,FLIGHT300,LKD9PI
TRANS000108,CUST0017,2023-07-02 20:07:54,138.28,GBP,FLIGHT711,LPGAIG
TRANS000109,CUST0019,2023-07-02 18:09:51,217.55,GBP,FLIGHT283,5LKGAE
TRANS000110,CUST0009,2023-07-02 03:09:23,295.21,GBP,FLIGHT204,SPNANN
TRANS000111,CUST0013,2023-07-02 12:43:09,257.81,EUR,FLIGHT589,A87S4W
TRANS000112,CUST0003,2023-07-02 08:11:11,91.31,JPY,FLIGHT826,V6M456
TRANS000113,CUST0009,2023-07-02 10:20:17,745.63,JPY,FLIGHT864,49YAOD
TRANS000114,CUST0003,2023-07-02 12:55:25,733.05,GBP,FLIGHT639,RIM1JE
TRANS000115,CUST0007,2023-07-02 03:22:04,108.8,GBP,FLIGHT595,E4TFV2
TRANS000116,CUST0004,2023-07-02 10:18:06,903.8,AUD,FLIGHT944,ORIMO0
TRANS000117,CUST0007,2023-07-02 10:51:23,430.51,EUR,FLIGHT402,B0D3RB
TRANS000118,CUST0008,2023-07-02 02:43:02,654.89,AUD,FLIGHT361,M8QPFV
TRANS000119,CUST0003,2023-07-02 00:32:24,393.76,USD,FLIGHT956,IESVUY
TRANS000120,CUST0008,2023-07-02 18:35:01,168.61,GBP,FLIGHT435,MDM194
TRANS000121,CUST0013,2023-07-02 09:18:26,387.87,GBP,FLIGHT753,HE1156
TRANS000122,CUST0012,2023-07-02 14:29:13,857.6,USD,FLIGHT150,TCMBZC
TRANS000123,CUST0017,2023-07-02 01:47:19,585.67,JPY,FLIGHT967,0KEGX0
TRANS000124,CUST0006,2023-07-02 11:01:05,212.46,USD,FLIGHT516,5DWMQ1
TRANS000125,CUST0018,2023-07-02 13:54:18,298.34,JPY,FLIGHT281,R5S9WL
TRANS000126,CUST0001,2023-07-02 00:48:41,886.23,AUD,FLIGHT978,LNHU48
TRANS000127,CUST0004,2023-07-02 09:21:28,838.25,GBP,FLIGHT996,9WKT86
TRANS000128,CUST0003,2023-07-02 05:39:02,665.12,USD,FLIGHT330,EPJISQ
TRANS000129,CUST0018,2023-07-02 20:06:57,806.01,EUR,FLIGHT437,XM14IX
TRANS000130,CUST0009,2023-07-02 04:48:40,952.16,GBP,FLIGHT505,G1FFH6
TRANS000131,CUST0008,2023-07-02 16:49:14,141.33,GBP,FLIGHT983,EYBP1Z
TRANS000132,CUST0003,2023-07-02 19:19:58,153.39,AUD,FLIGHT174,PUGR70
TRANS000133,CUST0017,2023-07-02 10:56:28,266.18,JPY,FLIGHT150,1OPNTS
TRANS000134,CUST0010,2023-07-02 18:29:52,707.56,EUR,FLIGHT769,Y2NL2T
TRANS000135,CUST0007,2023-07-02 05:56:19,510.34,AUD,FLIGHT878,MNHK3O
