transaction_id,customer_id,transaction_timestamp,price,currency,flight_id,booking_reference
TRANS000201,CUST0018,2023-07-03 14:45:48,867.78,JPY,FLIGHT863,P9GAFL
TRANS000202,CUST0008,2023-07-03 00:59:20,475.21,EUR,FLIGHT830,HPCDLZ
TRANS000203,CUST0017,2023-07-03 14:47:14,782.57,AUD,FLIGHT164,CTN1FV
TRANS000204,CUST0017,2023-07-03 15:27:32,223.67,GBP,FLIGHT346,MM8JTY
TRANS000205,CUST0006,2023-07-03 15:12:35,124.26,EUR,FLIGHT911,2RY3NR
TRANS000206,CUST0005,2023-07-03 05:50:33,875.06,AUD,FLIGHT862,YBZAK2
TRANS000207,CUST0014,2023-07-03 16:59:05,927.82,USD,FLIGHT830,LYVYXK
TRANS000208,CUST0016,2023-07-03 20:12:08,505.48,GBP,FLIGHT536,6FTLS9
TRANS000209,CUST0012,2023-07-03 02:35:47,844.14,GBP,FLIGHT333,EENYCL
TRANS000210,CUST0002,2023-07-03 06:53:45,507.67,JPY,FLIGHT127,Q430QX
TRANS000211,CUST0017,2023-07-03 20:44:17,346.98,AUD,FLIGHT464,DC7A7G
TRANS000212,CUST0004,2023-07-03 13:24:37,448.33,JPY,FLIGHT246,CRDBYB
TRANS000213,CUST0011,2023-07-03 03:11:30,425.76,AUD,FLIGHT283,VP4IF4
TRANS000214,CUST0001,2023-07-03 13:40:34,499.38,JPY,FLIGHT407,Q7QVVR
TRANS000215,CUST0020,2023-07-03 14:22:27,269.12,EUR,FLIGHT760,DNUI7R
TRANS000216,CUST0006,2023-07-03 15:49:46,667.15,EUR,FLIGHT291,8U8A5I
TRANS000217,CUST0016,2023-07-03 09:27:59,232.72,AUD,FLIGHT663,N59AH8
TRANS000218,CUST0018,2023-07-03 17:45:58,851.57,AUD,FLIGHT210,3HQNNJ
TRANS000219,CUST0019,2023-07-03 16:38:50,478.16,USD,FLIGHT963,LMZ7FR
TRANS000220,CUST0010,2023-07-03 15:20:04,393.23,GBP,FLIGHT327,6DKQ24
TRANS000221,CUST0015,2023-07-03 23:15:22,394.88,AUD,FLIGHT532,7NE63P
TRANS000222,CUST0003,2023-07-03 06:25:26,434.39,USD,FLIGHT525,EL0DI4
TRANS000223,CUST0010,2023-07-03 04:39:19,183.62,GBP,FLIGHT243,GISWQQ
TRANS000224,CUST0015,2023-07-03 18:19:41,231.45,JPY,FLIGHT437,4ZJYI1
TRANS000225,CUST0010,2023-07-03 20:06:38,780.64,AUD,FLIGHT439,GEWSYV
TRANS000226,CUST0004,2023-07-03 07:50:50,821.76,USD,FLIGHT109,K54TPV
TRANS000227,CUST0015,2023-07-03 03:04:54,863.38,JPY,FLIGHT290,P0HJWW
TRANS000228,CUST0012,2023-07-03 18:06:31,731.73,AUD,FLIGHT424,N364B5
TRANS000229,CUST0010,2023-07-03 13:19:02,626.18,JPY,FLIGHT503,49GIKQ
